english_title,new_hymnal_numbers,old_hymnal_numbers,recommended_manual_query,youtube_search,google_search,hymns_for_worship_search,hymncds_search,notes
Amazing Grace,65,73,"""Amazing Grace"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Amazing+Grace%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Amazing+Grace%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Amazing+Grace,https://www.hymncds.com/search?type=product&q=Amazing+Grace,Use accompaniment/instrumental only. Verify license before download or app redistribution.
An We Come to You in Prayer,84,,"""An We Come to You in Prayer"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22An+We+Come+to+You+in+Prayer%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22An+We+Come+to+You+in+Prayer%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=An+We+Come+to+You+in+Prayer,https://www.hymncds.com/search?type=product&q=An+We+Come+to+You+in+Prayer,Use accompaniment/instrumental only. Verify license before download or app redistribution.
And Can it Be?,156,,"""And Can it Be?"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22And+Can+it+Be%3F%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22And+Can+it+Be%3F%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=And+Can+it+Be%3F,https://www.hymncds.com/search?type=product&q=And+Can+it+Be%3F,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Angels We Have Heard On Hign,289,,"""Angels We Have Heard On Hign"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Angels+We+Have+Heard+On+Hign%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Angels+We+Have+Heard+On+Hign%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Angels+We+Have+Heard+On+Hign,https://www.hymncds.com/search?type=product&q=Angels+We+Have+Heard+On+Hign,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Any Where With Jesus,87,87,"""Any Where With Jesus"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Any+Where+With+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Any+Where+With+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Any+Where+With+Jesus,https://www.hymncds.com/search?type=product&q=Any+Where+With+Jesus,Use accompaniment/instrumental only. Verify license before download or app redistribution.
As With Gladness Men of Old,290,290,"""As With Gladness Men of Old"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22As+With+Gladness+Men+of+Old%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22As+With+Gladness+Men+of+Old%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=As+With+Gladness+Men+of+Old,https://www.hymncds.com/search?type=product&q=As+With+Gladness+Men+of+Old,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Asleep in Jesus,325,294,"""Asleep in Jesus"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Asleep+in+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Asleep+in+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Asleep+in+Jesus,https://www.hymncds.com/search?type=product&q=Asleep+in+Jesus,Use accompaniment/instrumental only. Verify license before download or app redistribution.
At the Cross,184,176,"""At the Cross"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22At+the+Cross%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22At+the+Cross%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=At+the+Cross,https://www.hymncds.com/search?type=product&q=At+the+Cross,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Away From Jesus,118,,"""Away From Jesus"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Away+From+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Away+From+Jesus%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Away+From+Jesus,https://www.hymncds.com/search?type=product&q=Away+From+Jesus,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Away in Manger,278,,"""Away in Manger"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Away+in+Manger%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Away+in+Manger%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Away+in+Manger,https://www.hymncds.com/search?type=product&q=Away+in+Manger,Use accompaniment/instrumental only. Verify license before download or app redistribution.
"Be Silent, Be Silent",25,27,"""Be Silent, Be Silent"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Be+Silent%2C+Be+Silent%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Be+Silent%2C+Be+Silent%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Be+Silent%2C+Be+Silent,https://www.hymncds.com/search?type=product&q=Be+Silent%2C+Be+Silent,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Be Thou My Vision,134,,"""Be Thou My Vision"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Be+Thou+My+Vision%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Be+Thou+My+Vision%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Be+Thou+My+Vision,https://www.hymncds.com/search?type=product&q=Be+Thou+My+Vision,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Beautiful Flowers,,271,"""Beautiful Flowers"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Beautiful+Flowers%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Beautiful+Flowers%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Beautiful+Flowers,https://www.hymncds.com/search?type=product&q=Beautiful+Flowers,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Beautiful Valler of Eden,,227,"""Beautiful Valler of Eden"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Beautiful+Valler+of+Eden%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Beautiful+Valler+of+Eden%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Beautiful+Valler+of+Eden,https://www.hymncds.com/search?type=product&q=Beautiful+Valler+of+Eden,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Beautiful Valley of Eden,227,,"""Beautiful Valley of Eden"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Beautiful+Valley+of+Eden%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Beautiful+Valley+of+Eden%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Beautiful+Valley+of+Eden,https://www.hymncds.com/search?type=product&q=Beautiful+Valley+of+Eden,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Before Jehovah's Awful Throne,,4,"""Before Jehovah's Awful Throne"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Before+Jehovah%27s+Awful+Throne%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Before+Jehovah%27s+Awful+Throne%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Before+Jehovah%27s+Awful+Throne,https://www.hymncds.com/search?type=product&q=Before+Jehovah%27s+Awful+Throne,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Behold What Manner of Love,158,,"""Behold What Manner of Love"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Behold+What+Manner+of+Love%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Behold+What+Manner+of+Love%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Behold+What+Manner+of+Love,https://www.hymncds.com/search?type=product&q=Behold+What+Manner+of+Love,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Being Born Again of the Spirit,,183,"""Being Born Again of the Spirit"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Being+Born+Again+of+the+Spirit%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Being+Born+Again+of+the+Spirit%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Being+Born+Again+of+the+Spirit,https://www.hymncds.com/search?type=product&q=Being+Born+Again+of+the+Spirit,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Beyond the Sunset,315,190,"""Beyond the Sunset"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Beyond+the+Sunset%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Beyond+the+Sunset%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Beyond+the+Sunset,https://www.hymncds.com/search?type=product&q=Beyond+the+Sunset,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Blessed Assurance,137,134,"""Blessed Assurance"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Blessed+Assurance%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Blessed+Assurance%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Blessed+Assurance,https://www.hymncds.com/search?type=product&q=Blessed+Assurance,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Blessed Lord How I Need Thee,98,98,"""Blessed Lord How I Need Thee"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Blessed+Lord+How+I+Need+Thee%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Blessed+Lord+How+I+Need+Thee%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Blessed+Lord+How+I+Need+Thee,https://www.hymncds.com/search?type=product&q=Blessed+Lord+How+I+Need+Thee,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Blessed Redeemer,191,,"""Blessed Redeemer"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Blessed+Redeemer%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Blessed+Redeemer%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Blessed+Redeemer,https://www.hymncds.com/search?type=product&q=Blessed+Redeemer,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Break Thou the Bread,59,,"""Break Thou the Bread"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Break+Thou+the+Bread%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Break+Thou+the+Bread%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Break+Thou+the+Bread,https://www.hymncds.com/search?type=product&q=Break+Thou+the+Bread,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Break Thou the Bread of Life,,59,"""Break Thou the Bread of Life"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Break+Thou+the+Bread+of+Life%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Break+Thou+the+Bread+of+Life%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Break+Thou+the+Bread+of+Life,https://www.hymncds.com/search?type=product&q=Break+Thou+the+Bread+of+Life,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Brighten the Corner Where you Are,252,236,"""Brighten the Corner Where you Are"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Brighten+the+Corner+Where+you+Are%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Brighten+the+Corner+Where+you+Are%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Brighten+the+Corner+Where+you+Are,https://www.hymncds.com/search?type=product&q=Brighten+the+Corner+Where+you+Are,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Brighten the Way With a Smile,100,99,"""Brighten the Way With a Smile"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Brighten+the+Way+With+a+Smile%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Brighten+the+Way+With+a+Smile%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Brighten+the+Way+With+a+Smile,https://www.hymncds.com/search?type=product&q=Brighten+the+Way+With+a+Smile,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Brightly Beams Our Father's Mercy,54,54,"""Brightly Beams Our Father's Mercy"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Brightly+Beams+Our+Father%27s+Mercy%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Brightly+Beams+Our+Father%27s+Mercy%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Brightly+Beams+Our+Father%27s+Mercy,https://www.hymncds.com/search?type=product&q=Brightly+Beams+Our+Father%27s+Mercy,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Burdens Are Lifted at Calvary,187,,"""Burdens Are Lifted at Calvary"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Burdens+Are+Lifted+at+Calvary%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Burdens+Are+Lifted+at+Calvary%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Burdens+Are+Lifted+at+Calvary,https://www.hymncds.com/search?type=product&q=Burdens+Are+Lifted+at+Calvary,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Call to Jesus in Trouble,93,93,"""Call to Jesus in Trouble"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Call+to+Jesus+in+Trouble%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Call+to+Jesus+in+Trouble%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Call+to+Jesus+in+Trouble,https://www.hymncds.com/search?type=product&q=Call+to+Jesus+in+Trouble,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Child of the King,115,,"""Child of the King"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Child+of+the+King%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Child+of+the+King%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Child+of+the+King,https://www.hymncds.com/search?type=product&q=Child+of+the+King,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Christ Arose,318,191,"""Christ Arose"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Christ+Arose%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Christ+Arose%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Christ+Arose,https://www.hymncds.com/search?type=product&q=Christ+Arose,Use accompaniment/instrumental only. Verify license before download or app redistribution.
Christ Receiveth Sinful Men,23,,"""Christ Receiveth Sinful Men"" instrumental accompaniment SDA Hymnal",https://www.youtube.com/results?search_query=%22Christ+Receiveth+Sinful+Men%22+instrumental+accompaniment+SDA+Hymnal,https://www.google.com/search?q=%22Christ+Receiveth+Sinful+Men%22+instrumental+accompaniment+SDA+Hymnal,https://shop.hymnsforworship.org/?q=Christ+Receiveth+Sinful+Men,https://www.hymncds.com/search?type=product&q=Christ+Receiveth+Sinful+Men,Use accompaniment/instrumental only. Verify license before download or app redistribution.
